Site_name,County,Initial_PV_size,Initial_storage_size,Final_PV_size,Final_storage_size,LCUE,Emissions_intensity,Cumulative_system_cost,Cumulative_system_GHG,Blackouts,Unmet_energy_fraction,Institution
AIC_Nadoto_Primary_School,Turkana,0.53,1.0,0.45,0.916,1.076,302.255,2640.442,1323.11,0.026,0.064,School
AIC_Nayanaekaton_Primary_School,Turkana,0.265,1.0,0.225,0.916,1.206,249.202,2449.112,902.555,0.006,0.012,School
A_IC_Gangani_Primary_School,Kwale,0.53,1.0,0.45,0.854,0.787,222.381,2640.442,1323.11,0.051,0.048,School
Abagarse_Primary_School,Isiolo,0.265,1.0,0.225,0.929,1.327,273.643,2449.112,902.555,0.004,0.008,School
Akadeli_Primary_School,Isiolo,0.53,1.0,0.45,0.9,0.605,170.599,2640.442,1323.11,0.02,0.019,School
Akili_Primary_School,Isiolo,0.53,1.0,0.45,0.886,0.933,263.002,2640.442,1323.11,0.05,0.081,School
Amason_Jeffah_King_Secondary_School,Kilifi,1.06,5.0,0.901,4.472,0.513,166.84,4523.102,2604.22,0.055,0.093,School
Antorita_Primary_School,Kwale,0.53,2.0,0.45,1.863,0.877,235.431,3015.442,1433.11,0.028,0.068,School
Bahero_Primary_School,Kilifi,0.53,2.0,0.45,1.846,0.806,216.992,3015.442,1433.11,0.033,0.053,School
Balaga_Primary_School,Kilifi,0.53,2.0,0.45,1.809,0.713,191.538,3015.442,1433.11,0.066,0.1,School
Bengoni_Primary_School,Kilifi,0.795,3.0,0.676,2.739,0.671,207.644,3581.772,1963.665,0.032,0.082,School
Biliqo_Day_Secondary_school,Isiolo,1.06,4.0,0.901,3.5,0.467,157.855,4148.102,2494.22,0.058,0.085,School
Bomani_Primary_School,Kwale,0.53,2.0,0.45,1.79,0.751,199.833,3015.442,1433.11,0.013,0.021,School
Boyani_Dispensary,Kilifi,0.795,3.0,0.676,2.641,0.434,133.966,3581.772,1963.665,0.028,0.031,Clinic
Boyani_West_Primary_School,Kwale,0.53,1.0,0.45,0.873,0.702,198.271,2640.442,1323.11,0.093,0.092,School
Bura_Primary_School,Kilifi,0.795,4.0,0.676,3.461,0.451,133.661,3956.772,2073.665,0.06,0.083,School
Busa_Dispensary,Kwale,0.795,3.0,0.676,2.685,0.519,160.489,3581.772,1963.665,0.05,0.088,Clinic
Chidzaya_Primary_School,Kwale,0.265,1.0,0.225,0.926,1.379,285.113,2449.112,902.555,0.002,0.002,School
Chingombero_Dispensary,Kwale,0.795,2.0,0.676,1.791,0.564,198.233,3564.402,2225.665,0.058,0.064,Clinic
Chumvi_yere_Primary_School,Isiolo,1.855,8.0,1.577,7.023,0.412,162.47,6579.722,4567.885,0.052,0.086,School
Daaba_Primary_School,Isiolo,0.53,2.0,0.45,1.913,1.728,464.32,3015.442,1433.11,0.017,0.039,School
Dadacha_Basa_Dispensary,Isiolo,1.325,4.0,1.126,3.52,0.361,136.937,4339.432,2914.775,0.039,0.044,Clinic
Dadachabasa_Primary_School,Isiolo,0.265,1.0,0.225,0.908,1.063,220.321,2449.112,902.555,0.042,0.069,School
Dera_Tumaini_Primary_School,Kilifi,0.53,2.0,0.45,1.724,0.626,167.616,3015.442,1433.11,0.029,0.034,School
Dighai_Primary_School,Taita_Taveta,0.53,2.0,0.45,1.827,0.881,235.03,3015.442,1433.11,0.003,0.004,School
Dzendereni_Primary_School,Kwale,0.53,2.0,0.45,1.829,0.717,191.892,3015.442,1433.11,0.023,0.029,School
Dzombo_Primary_School,Kwale,0.265,1.0,0.225,0.942,1.612,332.977,2449.112,902.555,0.01,0.032,School
Ekoropus_Primary_School,Turkana,0.53,2.0,0.45,1.833,0.802,213.76,3015.442,1433.11,0.003,0.004,School
Elsa_Primary_School,Isiolo,0.53,1.0,0.45,0.911,1.532,429.341,2640.442,1323.11,0.026,0.075,School
Elsa_Secondary_School,Isiolo,1.325,7.0,1.126,6.773,1.26,440.792,5822.062,3616.775,0.035,0.081,School
Emejen_Primary_School,Isiolo,0.795,4.0,0.676,3.455,0.445,132.016,3956.772,2073.665,0.057,0.08,School
Fudumulo_Primary_School,Kilifi,0.53,2.0,0.45,1.82,0.898,240.135,3015.442,1433.11,0.003,0.004,School
Galmadido_Primary_School,Isiolo,0.53,2.0,0.45,1.814,0.838,225.291,3015.442,1433.11,0.015,0.031,School
Galukani_Primary_School,Kilifi,0.53,1.0,0.45,0.929,1.537,487.997,2998.072,1695.11,0.014,0.093,School
Gamachu_Primary_School,Isiolo,0.53,2.0,0.45,1.854,1.021,271.015,3015.442,1433.11,0.007,0.02,School
Garbatula_Primary_Boarding,Isiolo,0.795,2.0,0.676,1.754,0.552,179.345,3206.772,1853.665,0.069,0.075,School
Gideon_Mosi_Primary_School,Taita_Taveta,0.53,1.0,0.45,0.884,0.763,215.358,2640.442,1323.11,0.044,0.069,School
Gozani_Primary_School,Kwale,0.53,2.0,0.45,1.774,0.621,165.992,3015.442,1433.11,0.026,0.035,School
Hawe_Wanje_Primary_School,Kilifi,0.53,2.0,0.45,1.75,0.643,172.748,3015.442,1433.11,0.069,0.088,School
Isiolo_Samburu_Complex_Dispensary,Isiolo,1.06,3.0,0.901,2.74,0.616,231.995,4130.732,2756.22,0.048,0.09,Clinic
Isiolo_Samburu_Complex_Primary_School,Isiolo,0.265,1.0,0.225,0.944,1.627,336.169,2449.112,902.555,0.004,0.012,School
Jezazhomu_Primary_School,Kilifi,0.53,3.0,0.45,2.697,0.656,168.619,3390.442,1543.11,0.024,0.051,School
Jitegemee_Primary_School,Kwale,0.53,2.0,0.45,1.806,0.706,187.976,3015.442,1433.11,0.017,0.019,School
Kaalem_Primary_School,Turkana,0.265,2.0,0.225,1.839,0.987,199.24,2824.112,1012.555,0.031,0.049,School
Kadunguni_Primary_School,Kilifi,0.265,1.0,0.225,0.953,1.933,399.397,2449.112,902.555,0.002,0.005,School
Kajungunyi_Primary_School,Taita_Taveta,1.325,5.0,1.126,4.354,0.432,156.347,4714.432,3024.775,0.057,0.099,School
Kakalel_Boys_Secondary_School,Turkana,0.795,3.0,0.676,2.783,0.754,231.26,3581.772,1963.665,0.023,0.046,School
Kalokoda_Primary_School,Turkana,0.265,1.0,0.225,0.932,1.844,380.661,2449.112,902.555,0.0,0.0,School
Kaluweni_Primary_School,Kwale,0.53,2.0,0.45,1.796,0.809,215.519,3015.442,1433.11,0.001,0.001,School
Kaole_Primary_School,Kilifi,0.53,2.0,0.45,1.765,0.69,184.681,3015.442,1433.11,0.038,0.091,School
Kapecha_Primary_School,Kilifi,0.795,3.0,0.676,2.734,0.671,208.773,3581.772,1963.665,0.039,0.087,School
Karyaka_Primary_School,Kwale,0.53,1.0,0.45,0.877,0.727,205.866,2640.442,1323.11,0.092,0.085,School
Kasimani_Primary_School,Kilifi,0.795,3.0,0.676,2.647,0.502,155.028,3581.772,1963.665,0.02,0.023,School
Kasuroi_Primary_School,Turkana,0.265,1.0,0.225,0.872,0.932,194.079,2449.112,902.555,0.074,0.084,School
Kavunyalo_Dispensary,Kilifi,1.06,4.0,0.901,3.469,0.397,135.21,4148.102,2494.22,0.064,0.075,Clinic
Kawala_Girls_Secondary_School,Kilifi,0.53,1.0,0.45,0.871,0.648,182.919,2640.442,1323.11,0.09,0.081,School
Kawalash_Primary_School,Isiolo,0.265,1.0,0.225,0.911,1.098,228.602,2449.112,902.555,0.04,0.07,School
Kibora_Primary_School,Kilifi,0.53,1.0,0.45,0.905,1.116,314.14,2640.442,1323.11,0.025,0.049,School
Kidomaya_Primary_School,Kwale,0.53,2.0,0.45,1.798,0.614,164.175,3015.442,1433.11,0.045,0.053,School
Kikonde_Primary_School,Kwale,0.53,2.0,0.45,1.768,0.567,151.811,3015.442,1433.11,0.068,0.067,School
Kinna_Primary_School,Isiolo,0.265,1.0,0.225,0.879,1.025,212.455,2449.112,902.555,0.032,0.039,School
Kiteje_Mixed_Secondary_School,Kwale,1.325,4.0,1.126,3.445,0.389,147.34,4339.432,2914.775,0.069,0.079,School
Kithengwani_Primary_School,Kilifi,0.265,1.0,0.225,0.956,2.156,446.12,2449.112,902.555,0.003,0.012,School
Kituoni_Primary_School,Kwale,0.265,1.0,0.225,0.885,0.886,184.533,2449.112,902.555,0.085,0.089,School
Kituu_Primary_School,Kwale,1.06,3.0,0.901,2.57,0.455,162.84,3773.102,2384.22,0.083,0.099,School
Kizimbani_Primary_School,Kwale,0.53,2.0,0.45,1.809,0.895,239.18,3015.442,1433.11,0.003,0.003,School
Kombola_primary_school,Isiolo,0.265,1.0,0.225,0.918,1.205,248.123,2449.112,902.555,0.009,0.016,School
Konjora_Primary_School,Kilifi,0.265,1.0,0.225,0.923,1.102,228.728,2449.112,902.555,0.011,0.017,School
Kubimatamuka_Primary_School,Isiolo,0.265,1.0,0.225,0.862,0.859,178.519,2449.112,902.555,0.051,0.058,School
KulaMawe_Primary_School,Isiolo,0.53,2.0,0.45,1.837,0.694,186.415,3015.442,1433.11,0.032,0.073,School
Kulalu_Primary_School,Kilifi,0.53,2.0,0.45,1.848,0.969,257.475,3015.442,1433.11,0.001,0.002,School
Lakole_Primary_School,Isiolo,0.53,2.0,0.45,1.857,0.969,257.68,3015.442,1433.11,0.01,0.028,School
Lobei_Primary_School,Turkana,0.53,3.0,0.45,2.705,0.68,174.298,3390.442,1543.11,0.028,0.048,School
Lokitaung_Girls_Secondary_School,Turkana,0.795,4.0,0.676,3.569,0.554,163.788,3956.772,2073.665,0.064,0.094,School
Loruth_Primary_School,Turkana,0.53,2.0,0.45,1.795,0.802,213.755,3015.442,1433.11,0.002,0.002,School
Lunguma_Primary_School,Kwale,0.53,2.0,0.45,1.827,0.77,205.896,3015.442,1433.11,0.017,0.021,School
Lwayoni_Primary_School,Kwale,1.06,3.0,0.901,2.625,0.543,203.971,4130.732,2756.22,0.053,0.079,School
Mabayani_Primary_School,Kwale,0.53,2.0,0.45,1.778,0.717,191.692,3015.442,1433.11,0.046,0.065,School
Mabesheni_Dispensary,Kwale,1.06,4.0,0.901,3.549,0.441,149.125,4148.102,2494.22,0.036,0.04,Clinic
Madibwani_Primary_School,Kwale,0.53,1.0,0.45,0.877,1.167,330.533,2640.442,1323.11,0.045,0.072,School
Maendeleo_Primary_School,Kwale,0.53,2.0,0.45,1.812,0.869,231.904,3015.442,1433.11,0.001,0.002,School
Mafisini_Primary_School,Kwale,0.53,1.0,0.45,0.892,0.692,195.324,2640.442,1323.11,0.054,0.078,School
Magale_Primary_School,Kwale,0.53,1.0,0.45,0.88,0.835,235.141,2640.442,1323.11,0.011,0.012,School
Magodzoni_Primary_School,Kwale,0.53,2.0,0.45,1.825,0.901,239.949,3015.442,1433.11,0.004,0.005,School
Maiyini_Primary_School,Kwale,0.53,1.0,0.45,0.851,0.87,246.668,2640.442,1323.11,0.069,0.065,School
Majoreni_Primary_School,Kwale,1.325,6.0,1.126,5.227,0.389,141.542,5447.062,3506.775,0.063,0.07,School
Makamini_Dispensary,Kwale,0.53,1.0,0.45,0.862,0.743,209.738,2640.442,1323.11,0.032,0.046,Clinic
Makonjeni_Primary_School,Kilifi,0.795,2.0,0.676,1.843,1.015,331.483,3206.772,1853.665,0.027,0.088,School
Malkadaka_Primary_School,Isiolo,0.53,2.0,0.45,1.813,0.787,209.659,3015.442,1433.11,0.013,0.019,School
Mama_Saleti_Primary_School,Isiolo,0.265,1.0,0.225,0.941,1.809,373.405,2449.112,902.555,0.003,0.011,School
Mapawa_Primary_School,Kilifi,0.53,2.0,0.45,1.798,0.831,222.032,3015.442,1433.11,0.005,0.021,School
Maphanga_Primary_School,Kwale,0.53,1.0,0.45,0.864,1.032,328.525,2998.072,1695.11,0.043,0.051,School
Marafiki_Primary_School,Kilifi,0.265,1.0,0.225,0.948,1.602,332.47,2449.112,902.555,0.027,0.032,School
Mataarba_Primary_School,Isiolo,0.53,1.0,0.45,0.892,1.235,347.893,2640.442,1323.11,0.038,0.088,School
Matagari_primary_School,Isiolo,0.795,2.0,0.676,1.828,0.656,212.504,3206.772,1853.665,0.033,0.084,School
Matolani_Primary_School,Kilifi,0.53,1.0,0.45,0.931,1.26,356.046,2640.442,1323.11,0.017,0.039,School
Mawe_Mabomu_Primary_School,Kilifi,0.53,2.0,0.45,1.777,0.7,186.743,3015.442,1433.11,0.008,0.009,School
Maya_Island_Primary_School,Kilifi,0.53,2.0,0.45,1.862,0.964,258.319,3015.442,1433.11,0.021,0.06,School
Mazola_Dispensary,Kwale,0.53,2.0,0.45,1.78,0.639,170.629,3015.442,1433.11,0.052,0.077,Clinic
Mbararani_Primary_School,Kwale,0.265,1.0,0.225,0.911,1.252,258.892,2449.112,902.555,0.014,0.022,School
Mbilini_Primary_School,Kwale,0.265,1.0,0.225,0.953,2.431,504.076,2449.112,902.555,0.0,0.0,School
Mbita_Primary_School,Kwale,0.795,4.0,0.676,3.589,0.517,153.151,3956.772,2073.665,0.048,0.074,School
Mbulia_Dispensary,Taita_Taveta,0.265,2.0,0.225,1.831,0.88,178.291,2824.112,1012.555,0.045,0.069,Clinic
Mchinjirini_Primary_School,Kwale,1.06,2.0,0.901,1.775,0.547,205.99,3398.102,2274.22,0.04,0.081,School
Melikubwa_Primary_School,Kwale,0.53,1.0,0.45,0.876,0.804,227.375,2640.442,1323.11,0.039,0.05,School
Merti_Muslim_Primary_School,Isiolo,0.53,2.0,0.45,1.824,0.954,254.922,3015.442,1433.11,0.016,0.048,School
Mgange_Dawida_Health_centre,Taita_Taveta,1.325,9.0,1.126,8.695,0.894,292.541,6572.062,3836.775,0.033,0.1,Clinic
Mgange_Nyika_health_centre,Taita_Taveta,2.915,14.0,2.478,13.723,1.808,759.693,10310.302,7654.105,0.01,0.094,Clinic
Mikameni_Primary_School,Kwale,0.53,2.0,0.45,1.782,0.605,162.238,3015.442,1433.11,0.052,0.072,School
Mitangani_Primary_School,Kilifi,0.265,1.0,0.225,0.934,1.686,348.842,2449.112,902.555,0.001,0.001,School
Mitangoni_Primary_School,Kilifi,0.53,2.0,0.45,1.797,0.754,200.978,3015.442,1433.11,0.007,0.01,School
Mitulani_Primary_School,Kilifi,0.53,1.0,0.45,0.882,0.765,217.138,2640.442,1323.11,0.073,0.099,School
Mitunguni_Primary_School,Kwale,0.265,1.0,0.225,0.949,1.366,282.425,2449.112,902.555,0.002,0.002,School
Mkuluni_Primary_School,Kilifi,0.795,3.0,0.676,2.716,0.739,244.585,3939.402,2335.665,0.034,0.091,School
Mlilo_Primary_School,Taita_Taveta,0.265,1.0,0.225,0.884,0.877,182.163,2449.112,902.555,0.035,0.034,School
Mlola_Primary_School,Kwale,0.265,1.0,0.225,0.889,0.904,187.218,2449.112,902.555,0.052,0.058,School
Mogore_Primary_School,Isiolo,0.265,1.0,0.225,0.953,1.848,383.544,2449.112,902.555,0.001,0.001,School
Mrima_Wa_Kuku_Primary_School,Kilifi,0.265,1.0,0.225,0.901,0.947,196.812,2449.112,902.555,0.043,0.057,School
Mtsamviani_Secondary_School,Kwale,1.06,4.0,0.901,3.492,0.416,140.843,4148.102,2494.22,0.041,0.05,School
Mtsangatamu_Primary_School,Kwale,0.53,1.0,0.45,0.897,0.768,216.367,2640.442,1323.11,0.06,0.093,School
Mtumwa_Dispensary,Kwale,1.325,4.0,1.126,3.515,0.472,192.966,5054.692,3658.775,0.051,0.069,Clinic
Muchuro_Primary_School,Isiolo,0.265,1.0,0.225,0.969,3.659,749.673,2449.112,902.555,0.001,0.002,School
Mugumoni_Primary_School,Kilifi,0.265,2.0,0.225,1.902,1.486,299.179,2824.112,1012.555,0.025,0.055,School
Muhumkulu_Primary_School,Kilifi,0.795,3.0,0.676,2.682,0.534,165.357,3581.772,1963.665,0.047,0.073,School
Munandanur_Primary_School,Isiolo,0.53,1.0,0.45,0.899,1.015,284.256,2640.442,1323.11,0.017,0.018,School
Mwaluvuno_Primary_School,Kwale,0.53,1.0,0.45,0.866,0.601,169.701,2640.442,1323.11,0.083,0.088,School
Mwamambi_Primary_School,Kwale,0.265,1.0,0.225,0.899,1.286,265.559,2449.112,902.555,0.042,0.095,School
Mwamtsefu_Primary_School,Kwale,0.53,2.0,0.45,1.783,0.662,176.881,3015.442,1433.11,0.05,0.091,School
Mwangani_Primary_School,Kilifi,0.53,2.0,0.45,1.768,0.51,136.479,3015.442,1433.11,0.068,0.061,School
Mwangaza_Primary_School,Kwale,0.265,1.0,0.225,0.918,1.284,266.197,2449.112,902.555,0.008,0.011,School
Mwanza_Primary_School,Kilifi,0.265,1.0,0.225,0.925,1.272,263.781,2449.112,902.555,0.016,0.021,School
Mwanzwani_Primary_School,Kwale,0.53,1.0,0.45,0.86,0.682,193.205,2640.442,1323.11,0.08,0.072,School
Mwele_Primary_School,Kilifi,0.265,1.0,0.225,0.893,1.221,252.495,2449.112,902.555,0.012,0.02,School
Mwembe_Kati_Dispensary,Kilifi,1.06,3.0,0.901,2.68,0.453,161.861,3773.102,2384.22,0.035,0.042,Clinic
Nabeiye_Primary_School,Turkana,0.53,1.0,0.45,0.882,1.102,310.237,2640.442,1323.11,0.067,0.095,School
Nagaa_Primary_School,Isiolo,0.265,1.0,0.225,0.881,1.319,336.377,2806.742,1274.555,0.023,0.049,School
Nakaalei_Primary_School,Turkana,0.53,1.0,0.45,0.879,0.939,264.034,2640.442,1323.11,0.079,0.087,School
Nakitoekakumon_Primary_School,Turkana,0.53,2.0,0.45,1.796,0.924,246.742,3015.442,1433.11,0.007,0.01,School
Namakat_Primary_School,Turkana,0.265,1.0,0.225,0.926,1.49,308.797,2449.112,902.555,0.0,0.0,School
Namortung_a_Boys_Secondary_School,Turkana,0.795,3.0,0.676,2.664,0.477,147.478,3581.772,1963.665,0.064,0.087,School
Naroo_Primary_School,Turkana,0.53,1.0,0.45,0.876,0.817,230.201,2640.442,1323.11,0.077,0.09,School
Ndugu_Zangu_Integrated_Primary_School,Isiolo,0.53,2.0,0.45,1.834,0.823,218.93,3015.442,1433.11,0.016,0.033,School
Ngoloko_Primary_School,Kilifi,0.53,1.0,0.45,0.887,0.85,239.749,2640.442,1323.11,0.023,0.034,School
Nyango_Primary_School,Kwale,0.53,1.0,0.45,0.852,0.831,235.533,2640.442,1323.11,0.073,0.079,School
Paola_Katsuhanzala_Primary_School,Kilifi,0.795,3.0,0.676,2.768,0.745,230.114,3581.772,1963.665,0.011,0.02,School
Pumwani_Primary_School,Kilifi,0.795,3.0,0.676,2.645,0.476,146.724,3581.772,1963.665,0.021,0.022,School
Sagalato_Primary_School,Kwale,0.53,2.0,0.45,1.832,0.734,195.96,3015.442,1433.11,0.031,0.046,School
Sagalla_Health_Centre,Taita_Taveta,2.12,9.0,1.802,8.468,0.7,288.424,7503.682,5470.44,0.038,0.097,Clinic
Saghaighu_dispensary,Taita_Taveta,1.06,3.0,0.901,2.7,0.447,160.096,3773.102,2384.22,0.067,0.09,Clinic
Salim_Mvurya_Secondary_School,Kwale,0.795,1.0,0.676,0.87,0.632,219.617,2831.772,1743.665,0.058,0.064,School
Sembe_Primary_School,Kwale,0.265,1.0,0.225,0.919,0.987,205.114,2449.112,902.555,0.033,0.032,School
Shakahola_Dispensary,Kilifi,1.06,3.0,0.901,2.594,0.441,157.787,3773.102,2384.22,0.07,0.091,Clinic
Shambani_Primary_School,Isiolo,0.795,2.0,0.676,1.846,0.661,234.003,3564.402,2225.665,0.046,0.091,School
Shauri_Moyo_Primary_School,Kwale,0.265,1.0,0.225,0.951,1.937,398.552,2449.112,902.555,0.0,0.0,School
Silaloni_Primary_School,Kwale,0.53,2.0,0.45,1.731,0.587,157.524,3015.442,1433.11,0.071,0.091,School
Simanya_Primary_School,Kwale,0.53,2.0,0.45,1.795,0.765,203.946,3015.442,1433.11,0.019,0.028,School
Tata_Primary_School,Kwale,1.06,4.0,0.901,3.804,1.103,373.412,4148.102,2494.22,0.023,0.095,School
Tiwi_Boys_Secondary_school,Kwale,0.53,1.0,0.45,0.94,1.53,432.315,2640.442,1323.11,0.027,0.081,School
Todonyang_Primary_School,Turkana,0.53,1.0,0.45,0.919,1.001,284.311,2640.442,1323.11,0.055,0.083,School
Uhuru_Primary_School,Isiolo,0.53,1.0,0.45,0.903,1.143,320.49,2640.442,1323.11,0.027,0.058,School
Vithunguni_Primary_School,Kilifi,0.265,1.0,0.225,0.9,1.248,258.59,2449.112,902.555,0.006,0.017,School
Watala_Primary_School,Kilifi,0.53,2.0,0.45,1.89,1.362,412.548,3373.072,1805.11,0.043,0.064,School
Werugha_Health_facility,Taita_Taveta,2.12,6.0,1.802,5.469,0.539,241.104,6021.052,4768.44,0.053,0.088,Clinic
Yapha_Primary_School,Kwale,0.795,3.0,0.676,2.756,0.836,259.284,3581.772,1963.665,0.033,0.086,School
Ziwani_Primary_School,Kilifi,0.53,2.0,0.45,1.917,1.679,449.643,3015.442,1433.11,0.007,0.032,School
Ziyaradundo_Primary_School,Kwale,0.795,3.0,0.676,2.646,0.607,187.203,3581.772,1963.665,0.018,0.025,School
